Country,Job_Title,Max_Salary
Canada,"Director of Strategic Research",135000
Canada,"Change Manager",134776
Canada,"Associate Director, Application Support",134640
Canada,"Policy Analyst",134164
Canada,"Manager, Technology",133960
Canada,"Manager, Process Engineering",133960
Canada,"Director of People Operations",133280
Canada,"Curriculum consultant/Teacher Leader",133280
Canada,"Business Analyst",133280
Canada,"Education Manager",133280
Canada,"Senior Advisor",133280
Canada,"Program Manager",133280
Canada,NP-PHC,133280
Canada,"High School Teacher (long term occasional)",133055.6
Canada,"Manager, Total Rewards",132600
Canada,"Project Manager",132600
Canada,"Archives Supervisor",132303.52
Canada,RN,131920
Canada,"Assistant Principal",131920
Canada,"Head of People & Culture",131920
Canada,"IT Project Manager",131920
Canada,"Senior Manager, Marketing",131920
Canada,"NICU Family Support Specialist",131920
Canada,"Senior Advisor, Communications",131240
Canada,"Senior Learning Advisor",130560
Canada,"Senior Manager, Communications",130560
Canada,"Medical Laboratory Technologist",130560
Canada,"sr. info security consultant",130560
Canada,Coordinator,130560
Canada,Accountant,130560
Canada,"Secondary Teacher",130560
Canada,Biologist,130560
Canada,Scientist,130560
Canada,"Senior Producer",130560
Canada,"Senior Labour Relations Advisor",130369.6
Canada,"Senior Programmer",130000
Canada,"Digital Product Manager",130000
Canada,"Manager, Legislation and Information Management",129544.08
Canada,"Associate Engineer",129200
Canada,"Senior Graphic Designer",129200
Canada,Teacher,129200
Canada,"Marketing Manager",129200
Canada,"investment advisor",129200
Canada,"Pipeline integrity engineer",129200
Canada,"Teacher - Grade 6",129200
Canada,"Software Business Analyst",129200
Canada,"Contracts Specialist",129200
Canada,"Manager of Product & Marketing",129200
Canada,"High School History Teacher",129200
Canada,"Family lawyer",129200
Canada,"Technical Group Leader",129200
Canada,"Managing Editor",129200
Canada,"Sales Engineer",128805.6
Canada,"Product Owner, IT",128520
Canada,"physics technologist",127840
Canada,"Legal Counsel",127160
Canada,"Marketing and Communications Manager",127160
Canada,"Senior Editor",127160
Canada,"IT Technical Consultant",126888
Canada,"IT analyst/developer",126784.64
Canada,"Crime Analyst",126480
Canada,"Engagement officer",126480
Canada,"Manager Mental Health Program",126480
Canada,"Communications and Marketing Manager",126480
Canada,"Strategic Advisor",126480
Canada,"Mechanical Design Engineer",126480
Canada,"Senior Employee Relations Consultant",126480
Canada,"Automation Applications Engineer",126480
Canada,"Manager, Development Operations",126480
Canada,"Research Manager",126480
Canada,"Law Clerk",126480
Canada,"Manager, Finance",126480
Canada,"DevOps Engineer",125598.72
Canada,"Senior Advisor, System Architecture",125120
Canada,"Educational developer",125120
Canada,"Communications Specialist",125120
Canada,"Development Officer",125120
Canada,"Manager, Stakeholder Engagement",125120
Canada,"Data Analyst",125120
Canada,"Manager - Training and Quality",125120
Canada,"Sr. Operations Manager",125120
Canada,"Property Manager",125120
Canada,Translator,125120
Canada,Lecturer,125120
Canada,"Manager Operations",125120
Canada,"Senior Frontend Developer",125000
Canada,"Systems Administrator",124848
Canada,"Financial Analyst",124135.36
Canada,"Procurement Specialist - RSE Journeyman",123977.6
Canada,Planner,123760
Canada,"IT Support",123760
Canada,"Airworthiness Engineer",123760
Canada,"Marketing & Communications Lead",123760
Canada,"Strategic Policy Advisor",123188.8
Canada,"Senior Manager Portfolio Quality",122536
Canada,"Product Education Manager",122400
Canada,"Network Supervisor",122400
Canada,"Director of Communications",122400
Canada,"UX Manager",122400
Canada,"Product Marketing Manager",122400
Canada,"Registered Psychotherapist",122400
Canada,"Product designer",122400
Canada,Producer,122400
Canada,"Director of Communications and Research",122400
Canada,"Sr Business Analyst",122400
Canada,"Director of Operations",122400
Canada,"GIS Data Specialist",122400
Canada,"Financial Administrator",122400
Canada,"Systems Analyst",122400
Canada,Devops,122400
Canada,"Construction Engineer",122400
Canada,Conductor,122400
Canada,"Engineering Officer",122400
Canada,"Lead, eServices",122400
Canada,"Business Systems Analyst",122400
Canada,"Dev Ops developer",122400
Canada,"Head metadata librarian",122400
Canada,"Human Resources Advisor",122400
Canada,"Charge nurse",122400
Canada,Teacher/Consultant,122400
Canada,"Seniors software developer",122400
Canada,"Web developer",122400
Canada,"Social Worker",122400
Canada,"Lead Support Specialist",122400
Canada,"Facilities Management Officer",122400
Canada,"Business Analysis and Performance Measurement Reporting",121951.2
Canada,"Documentation Team Lead",121720
Canada,Writer/Editor,121702.32
Canada,"Records and Information Coordinator",121235.84
